Date,Acc Code,Je Source,Category,Journal Name,Gl Doc Num,Description,GL Line Description,GL Line Num,Party/Customer Name,Reference Number,Sub Doc Num,Sub Ledger Description,Accounted Dr,Accounted Cr
10-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCR-66664 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,null,Journal Import 2591614:,//SETTLEMENT,2,,,,,0,177
19-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCR-66903 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,null,Journal Import 2591655:,//SETTLEMENT,2,,,,,0,600
03-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-468242 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,null,Journal Import 2591614:,//SETTLEMENT,2,,,,,0,3500
04-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-468261 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,null,Journal Import 2599930:,//SETTLEMENT,2,,,,,0,1375
05-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-468609 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,null,Journal Import 2591614:,//SETTLEMENT,2,,,,,0,7050
05-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-468646 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,null,Journal Import 2591614:,//SETTLEMENT,2,,,,,0,800
05-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-468697 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,null,Journal Import 2591614:,//SETTLEMENT,2,,,,,0,250
09-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-469062 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,null,Journal Import 2591614:,//SETTLEMENT,2,,,,,0,5100
10-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-469228 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,null,Journal Import 2591641:,//SETTLEMENT,2,,,,,0,5130
10-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-469267 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,null,Journal Import 2591641:,//SETTLEMENT,2,,,,,0,900
10-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-469280 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,500170714,Journal Import 2591641:,//SETTLEMENT,2,,,,,0,500
10-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-469362 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,500169998,Journal Import 2591614:,//SETTLEMENT,2,,,,,0,900
11-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-469400 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,500171266,Journal Import 2591641:,//SETTLEMENT,2,,,,,0,4000
11-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-469443 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,500170731,Journal Import 2591614:,//SETTLEMENT,2,,,,,0,2700
14-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-469485 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,500173122,Journal Import 2591641:,//SETTLEMENT,2,,,,,0,1250
14-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-469550 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,500173123,Journal Import 2591641:,//SETTLEMENT,2,,,,,0,1850
12-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-469566 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,500171904,Journal Import 2591641:,//SETTLEMENT,2,,,,,0,100
12-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-469592 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,500171905,Journal Import 2591641:,//SETTLEMENT,2,,,,,0,500
12-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-469597 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,500171906,Journal Import 2591641:,//SETTLEMENT,2,,,,,0,800
13-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_CANCEL_SETTLEMENT,NSK-OCS-469808 HIS_CANCEL_SETTLEMENT 3358005YT7JQCWYLTG43,500172512,Journal Import 2591641:,//SETTLEMENT,2,,,,,0,900
